wind speed;P;P_with_TI
15.3;1000.0;999.3365564077297
15.4;1000.0;999.4331809394097
15.5;1000.0;999.5205159804328
15.600000000000001;1000.0;999.5989067916311
15.700000000000001;1000.0;999.6686986338351
15.8;1000.0;999.730236767876
15.9;1000.0;999.7838664545854
16.0;1000.0;999.8299329547943
16.1;1000.0;999.868830949252
16.2;1000.0;999.9011527983781
16.3;1000.0;999.9275402825106
16.400000000000002;1000.0;999.9486351819875
16.5;1000.0;999.9650792771462
16.6;1000.0;999.9775143483254
16.7;1000.0;999.9865821758624
16.8;1000.0;999.992924540095
16.900000000000002;1000.0;999.9971832213614
17.0;1000.0;999.999999999999
17.1;1000.0;1000.0019266015302
17.2;1000.0;1000.0031545322116
17.3;1000.0;1000.0037852434846
17.400000000000002;1000.0;1000.0039201867899
